Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Industry,Sector,Revenue
Data Scientist,-1,"This project requires a motivated data scientist to build and train python-based classification model prototypes that analyze raw data files and establish output data ranges across dimensions. These data models will deliver analytical results indicating type based on the inputted data. Models trigger and run on all new samples received in our cloud, accepting payloads and outputting staged-output scores. Outputs will be appended to existing record for review, analysis, and reporting.
Sample data is currently in an AWS cloud which is where your model will reside and be deployed. Upon completion, the deployed model will automatically ingest, process new data samples received through a web app and stored in an AWS DB, outputting classification results. Results will classify/stratify into groups of cohorts.
Overview of requirements:
Build, develop, and deliver core model in AWS infrastructure (EC2 (preferred), Sagemaker, Lambda, etc)
Configure necessary AWS infrastructure to support the model (EC2, Sagemaker)
Proactively investigate and explore data to uncover insights related to performance characteristics and traits, and communicate them clearly and compellingly to management
Required Experience:
Significant understanding and experience using/building/training/deploying machine learning, deep learning and A.I. algorithms and models
Extensive experience in model serving and workflow tools to enable rapid and reliable ML experimentation at scale.
Practical cloud computing experience with AWS technologies utilizing infrastructure as code methodologies to create high performance and data intensive platforms.
Programming skills in Python, R, SQL, Go, Bash programming with the ability to quickly create prototype and debug solutions on Cloud Native / Linux /embedded platforms.
MUST HAVE significant Python programming experience to be considered for this role. More information will be provided to the successful applicant.
Job Type: Full-time
Job Type: Full-time
Schedule:
Flexible shift
Rotational shift
Experience:
Data Science: 5 years (Required)
Application Question:
Are you able and available to join immediately?",-1,"BreathX Technologies Inc, ( Canary Health Technologies)",Bangalore,Unknown,-1,-1,Less than $1 million (USD)
Data Scientist,-1,"Company Profile:
At DXFactor, we are bringing the next wave of technological disruption by being “OUTCOMES OBSESSED”. We aim to create an “Outcomes Economy” by building an enduring platform(s) for innovation that pursues excellence to create products, systems and solutions that delight our customers and exceed their expectations.
Role Overview:
To help data science team do quick POC, prototyping & integrate ML models in data products. One will primarily focus in applying Data Science/Machine Learning/ AI algorithms on various use cases and integrating them in our product.
Responsibilities:
Apply statistical techniques to find inferences/insights from data
Create machine learning models using various supervised & unsupervised algorithms
Quick POC & prototyping for various data science use cases
Data preprocessing & cleansing
Doing ad-hoc analysis and presenting results in a clear manner
Doing research on various ML topics & use cases
Building recommender system
Building various deep learning models
Job Types: Full-time, Regular / Permanent
Salary: From ₹600,000.00 per year
Benefits:
Cell phone reimbursement
Flexible schedule
Health insurance
Internet reimbursement
Schedule:
Day shift
Flexible shift
Monday to Friday
Supplemental Pay:
Performance bonus
Quarterly bonus
Yearly bonus
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19
COVID-19 Precaution(s):
Remote interview process
Virtual meetings",-1,DXFactor Solutions Pvt Ltd,Ahmedabad,-1,-1,-1,-1
Data Scientist,-1,"Job Summary:
In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data.
Job Responsibilities:
Identify valuable data sources and automate collection processes
Undertake pre-processing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns
Build predictive models and machine-learning algorithms
Combine models through ensemble modeling
Present information using data visualization techniques
Propose solutions and strategies to business challenges
Collaborate with engineering and product development team
Essential Qualifications:
Strong background in Advanced Analytics, Statistical algorithms & application (Regression, Clustering, Classification, crosstab, time series etc…)
Hand on in handling very large amounts of structured and unstructured data.
Hand on experience in R/Python and its application
Business understanding for requirement gathering
Knowledge of Power BI , tableau , QlikView is preferred
Good experience in Power Point presentations is preferred
Excellent verbal and written communication skills with the ability to work with diverse teams in a highly matrixed environment
Excellent understanding of Analytics concepts and methodologies including
Knowledge of RDBMS & Business Intelligence solutions
Job Type: Full-time
Salary: ₹20,000.00 - ₹40,000.00 per month
Schedule:
Flexible shift
Monday to Friday
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Required)",3.0,"Unusual Hire
3.0",Bangalore,1 to 50 Employees,-1,-1,Less than $1 million (USD)
Data Scientist,-1,"Skill requirements
Python
Other software - AWS, Tableau, Power BI, GCP, Azure data bricks, R, R shiny
Machine learning expert
NLP expert
Deep learning
Responsibilities:
Apply statistical techniques to find inferences/insights from data
Create machine learning models using various supervised & unsupervised algorithms
Quick POC & prototyping for various data science use cases
Data preprocessing & cleansing
Doing ad-hoc analysis and presenting results in a clear manner
Doing research on various ML topics & use cases
Building recommender system
Building various deep learning models
Minimum Qualifications:
3 – 5 years of relevant professional experience in an autonomous data analytics or data science role
Master’s degree or PhD in computer science, mathematics, statistics, physics, computational finance, or a similar quantitative field (or relevant work experience)
Knowledge of statistics, computer science and machine learning
Strong programming skills in Python (highly preferred), R, and/or Scala
Strong proficiency with Pandas and Scikit-Learn
Experience with building distributed data pipelines using PySpark
Experience with several of the following concepts: decision trees, random forests, gradient boosting; linear regression; logistic regression; dimensionality reduction using PCA and clustering
Comfortable with general SDLC concepts and processes
Excellent command over English language.
Job Type: Full-time
Schedule:
Day shift
Work Remotely:
No",-1,AlpsLogic IT Solutions,Gāndhīnagar,-1,-1,-1,-1
Data Scientist - AI/ML,-1,"Our Company

Changing the world through digital experiences is what Adobe’s all about. We give everyone—from emerging artists to global brands—everything they need to design and deliver exceptional digital experiences! We’re passionate about empowering people to create beautiful and powerful images, videos, and apps, and transform how companies interact with customers across every screen.

We’re on a mission to hire the very best and are committed to creating exceptional employee experiences where everyone is respected and has access to equal opportunity. We realize that new ideas can come from everywhere in the organization, and we know the next big idea could be yours!

ob Description
Excited by AI/ML? Interested in creating new state-of-the-art solutions using Machine Learning. The Experience Intelligence R&D team in Bangalore is developing micro-services for delivering better personalisation, managing ad spends and generating content insights using AI/ML and data science at its core.
As a part of this, we need experienced individuals focusing on research and development of methods for processing huge amount of content.
What you get to do in this role:
Develop algorithms that utilize deep learning and traditional methods in NLP and computer vision
Create experiments, algorithms and prototypes that not only yield high-accuracy but are also designed and engineered to scale.
Collaborate across multiple research and engineering disciplines, making the tradeoffs required to rapidly deliver software solutions

In order to be successful in this role, we need someone who has:
1-4 years in applying AI/ML principles to real world applications.
Broad NLP knowledge: tokenisation, part-of-speech tagging, dependency parsing, syntactic parsing, word sense disambiguation, topic modeling; contextual text mining, Word embedding
Broad Computer Vision knowledge:
Construction, Feature detection, Segmentation, Classification
object detection, tracking, localisation, classification, recognition, scene understanding
Face detection / alignment / recognition /tracking /attribute recognition/expression analysis.
Video stabilization/ denoising / super-resolution / stitching / enhancement
Broad Machine Learning experience - Algorithm Evaluation, Preparation, Analysis, Modeling and Execution.
Exposure to Deep Learning - CNNs, LSTMs, network architecture, network tuning, transfer learning, multi-task learning
Experience in using Tensorflow, Caffe and/or other neural network development frameworks.
Exposure to Open source NLP libraries e.g. NLTK, Regex, Stanford NLP, OpenNLP/CoreNLP
Exposure to AWS/Azure/GPU is a plus",4.4,"Adobe
4.4",Bangalore,10000+ Employees,Computer Hardware & Software,Information Technology,$5 to $10 billion (USD)
Data Scientist,-1,"Reverenc Technologies Looking for Data scientist with Machine learning and Artificial Intelligence application knowledge.
Job Description:
* Backend data analysis
* e-commerce analytics work.
* On time Bot handling.
* Can work with group and interns
Job Type: Full-time
Salary: ₹15,000.00 - ₹20,000.00 per month
Schedule:
Day shift
Experience:
Software: 1 year (Preferred)
Data scientist : 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No",-1,Reverenc Technologies Pvt Ltd,Pune,-1,-1,-1,-1
Machine Learning Engineer,-1,"With supervised learning in Machine Learning (ML) having access to high-quality training datasets is essential to train ML algorithms effectively. Yet, the industry standard for producing these high-quality training datasets is to use human annotators who usually produce these datasets by hand. The main reason why this is the industry standard is that usually with an expert annotator who has the right domain knowledge the accuracy level for these training datasets is usually very high (99% or above) which is essential to train ML algorithms effectively. Otherwise, you could crowdsource the data to a crowdsourcing platform but then the accuracy level usually isn’t very high with this method. However, the two major downsides with these approaches are that the turnaround time for the datasets is usually very high. It could take weeks or months depending on the volume of the data. Moreover, because it’s done manually the cost is usually exorbitantly high.
In order to solve this huge data bottleneck that the ML pipeline faces we are building a program that will programmatically generate training datasets. The main challenge will be to keep the accuracy level at 99% or more but the turnaround time will come down significantly. We are talking about hours or even minutes over time and because it’s done programmatically the cost will be exorbitantly low.
This is a hard problem to solve, hence why there isn’t any go-to solution for this in the market yet. This is why I am looking for capable ML Engineers who will join our team to contribute towards solving this pressing issue that will help accelerate the growth of ML and AI applications in various industries and in consumer tech products throughout India.
Here are the specifications required for the job: You should have demonstrated interest and passion in ML/DL/AI in college through projects, internships, and/or research work. Work experience with ML and AI is also great. You should be well-versed in PyTorch and Python and other DL languages and applications. You should preferably be a hard-core ML/DL/AI person but even someone with knowledge of generative models, discriminative models, and other ML models is welcome to apply. You should be someone with the drive to complete a complicated task really well in 1/3 the time that most competent people deem possible and should have the drive to do important work that will put India on the map with ML and AI.
You will be working with some of the smartest people from IITs and other leading tech institutions to devise a solution to this hard problem.
If you want to be a part of this tectonic shift in AI, send in your application and I look forward to reviewing it.
Expected Start Date: 15/2/2021
Job Type: Full-time
Salary: ₹21,121.00 - ₹89,703.00 per month
Benefits:
Health insurance
Schedule:
Monday to Friday
Supplemental Pay:
Yearly bonus
Experience:
Machine Learning: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Required)",-1,Expand AI,Calcutta,-1,-1,-1,-1
Data Analytics Internship,-1,"About the company:
Levers for Change is a business transformation consultancy, functioning as a support system and a medium to bringing about developmental, transitional, and transformational change in any organization. Driven by strategy, specializations, and expertise, LFC provides tailored and customized solutions to generate profits and ensure business growth. Levers for Change strives to provide security and confidence to every client by ensuring returns through the power of human touch backed with technology.
About the internship/job:
Selected intern's day-to-day responsibilities include: 1. Work on data analysis and presentation preparation 2. Assist in shop floor studies at client location 3. Coordinate for meeting with the client
Who can apply:
Only those students or freshers can apply who:
are available for full time (in-office) internship
have relevant skills and interests
can start the internship between 30th Dec'20 and 3rd Feb'21
are available for duration of 3 months
have already graduated or are currently in any year of study
are from Bangalore and neighboring cities
Females willing to start/restart their career may also apply
Number of internships/jobs available: 1
Additional details:
This is an urgent requirement, the candidates can join us as early as 5 January 2021.
Categories: Analytics,Database Building,Data Science,Operations,MBA",-1,Levers For Change Consulting LLP,Bangalore,-1,-1,-1,-1
Data Scientist,-1,"Data Science use-cases
Business analysis
Churn analytics
Market research
Feasibility analysis
Demand-supply forecasting, supply chain analysis, markdown optimization for retailers
Recommendation engine, social media analysis
Life Sciences project
AI/ML
Time Series Modelling - Forecasting
risk analysis
fraud analytics
NLP use cases
EDA - exploratory data analysis
Computer vision
Speech recognition
Skill requirements
Python
Other software - AWS, Tableau, Power BI, GCP, Azure data bricks, R, R shiny
Machine learning expert
NLP expert
Deep learning
Job Type: Full-time
Salary: ₹30,000.00 - ₹50,000.00 per month
Schedule:
Flexible shift
Experience:
work: 2 years (Preferred)
total work: 2 years (Preferred)
Education:
Bachelor's (Required)
Work Remotely:
No",4.5,"ESHIA SOLUTIONS PVT LTD
4.5",Ahmedabad,51 to 200 Employees,-1,-1,Less than $1 million (USD)
Data Scientist,-1,"Job: Data Scientist
Position Type: Full-time – Permanent
Location: Bangalore, Karnataka (IN)
Key Responsibilities:
Working with the data science team to research, develop and evaluate various algorithms for data engineering and data analysis to solve different problems.
Explore and analyze small and large scale structured and unstructured data through data engineering.
Take ownership to drive data engineering for AI technology development to meet customer requirements.
Deploying developed algorithms on edge devices after optimization to meet customer requirements and maintaining them for improvement to address additional customer requirements in future.
Required Characteristics:
MSc or PhD in Computer Science, Data Science, Machine Learning, Statistics or in related fields preferred but candidates with Bachelor’s degree in computer science are also welcome to apply provided they have a strong technical knowledge and experience.
A background in life sciences or agricultural technology will be a plus.
Understanding about depth and breadth of machine learning, data engineering and statistics.
At least 2 years of experience in machine learning and data engineering either in academic or industrial domain.
Ability to transform research articles into the working solutions to solve real-world problems.
Experience in data extraction, data transformation, statistical analysis and data modeling.
Strong experience in using both basic and advanced image processing algorithms for feature extraction.
Strong background in mathematics especially in probability, statistics and linear algebra.
Proficiency in Python and related packages like numpy, scikit-learn, scikit-image, PIL, opencv, matplotlib, seaborn, etc.
Excellent written and verbal communication skills for effectively communicating with the team and ability to present information to varied technical and non-technical audience.
Must be able to produce solutions independently in an organized manner and also be able to collaborate in a team when required.
Preferred Characteristics (not mandatory to have all):
Strong foundation in data structures and algorithms in Python or C++
Advanced knowledge in performance, scalability, numerical accuracy and best practices for implementing various machine learning and data engineering algorithms.
Proficiency with AWS or Azure cloud computing environments.
Exposure to IoT technology.
Experience in Agile Application Development and Scrum methodologies to develop efficient, maintainable, readable and production-ready pipelines.
Job Type: Full-time
Salary: ₹500,000.00 - ₹800,000.00 per year
Schedule:
Day shift
Monday to Friday
Experience:
work: 1 year (Preferred)
4: 2 years (Required)
Education:
Bachelor's (Preferred)
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Temperature screenings
Sanitising, disinfecting, or cleaning procedures in place
Speak with the employer
+91 9113072108",-1,AgEye Technologoes,Bangalore,-1,-1,-1,-1
Data Scientist- AI/ML - Contract to Revenue,-1,"Requisition ID: 249298
Work Area: Software-Design and Development
Expected Travel: 0 - 10%
Career Status: Professional
Employment Type: Regular Full Time

COMPANY DESCRIPTION

SAP started in 1972 as a team of five colleagues with a desire to do something new. Together, they changed enterprise software and reinvented how business was done. Today, as a market leader in enterprise application software, we remain true to our roots. That’s why we engineer solutions to fuel innovation, foster equality and spread opportunity for our employees and customers across borders and cultures.
SAP values the entrepreneurial spirit, fostering creativity and building lasting relationships with our employees. We know that a diverse and inclusive workforce keeps us competitive and provides opportunities for all. We believe that together we can transform industries, grow economics, lift up societies and sustain our environment. Because it’s the best-run businesses that make the world run better and improve people’s lives.

SUMMARY

The Maintain Deal Technology organization will be responsible for all activities touching Contract to Revenue related applications and processes. As part of a value streams structured team you will be at the heartbeat of our revenue streams. The team is responsible for planning, design, implementation and operations of IT solutions supporting SAP’s entire business process portfolio along its company journey, closely interacting with respective Lines of Businesses. We act as the Businesses’ trusted advisor and experts, driving together the simplification, harmonization and intelligence of our business processes, with the focus on Lead-to-Cash processes by living agile ways of working and adopting to state-of-the-art solution design embracing innovation and new technologies to achieve higher effectiveness.

Within Maintain Deal Technology organization, the Contract to Revenue team in India delivers IT solutions primarily to the SAP Global Finance & Administration Board Area. Our scope includes the following business processes: Contract Management, Order Management, Invoice Management, Tax, Localization, Cash Collections, Royalties & Revenue Accounting and other related topics. Our vision is to deliver best-in-class and innovative IT solutions; seamlessly integrated towards our ambition of the Intelligent Enterprise and to empower our employees, delight our customers and create a great user experience.
The ROLE:

Within the team, you will work in a highly agile environment with strategic relevance to drive legal compliance in Tax reporting and country specific fiscal requirements.

Work closely with functional consultants to identify and implement solutions related to country-specific legal mandates.
Designing and implementing innovative applications and features in the area of digital assistants and natural language processing.
Build integrations of chatbots into existing business applications.
Build data pipelines, analyze data, train models and host ML services.
Research, test and conduct Proof of Concepts on state-of-the-art NLP implementations.
Improve SAP’s internal processes by designing and implementing ML applications.
Align with the SAP standard development organization on features and requirements for our own products and work in a co-innovation model to further enhance the same.
Contribute to projects by taking technical responsibility for certain aspects or entire projects.
Urge to drive innovation and early adoption of new technologies and solutions in close collaboration with Product Development as well as other teams within IT.
Strong interpersonal and verbal/written communication skills.
Ability to work in virtual team and act as “team player”.

ROLE REQUIREMENTS

Bachelor or master’s degree in Computer Science with certificates and/or courses focusing on machine learning
Strong background in Software Engineering, Development and Implementation with exposure to software architecture and technology.
Experience in Common Machine learning frameworks (tensorflow, pytorch, sklearn).
Knowledge of Python, Java, NLP & Open source API consumption and it’s integration with SAP system.
Experience with chatbot frameworks such as Google Dialogflow or ideally SAP Conversational AI will be an added advantage.
Experience of working in agile environment methodologies such as scrum following DevOps model will be an added advantage.
WHAT YOU GET FROM US
Success is what you make it. At SAP, we help you make it your own. A career at SAP can open many doors for you. If you’re searching for a company that’s dedicated to your ideas and individual growth, recognizes you for your unique contributions, fills you with a strong sense of purpose, and provides a fun, flexible and inclusive work environment – apply now.
SAP'S DIVERSITY COMMITMENT
To harness the power of innovation, SAP invests in the development of its diverse employees. We aspire to leverage the qualities and appreciate the unique competencies that each person brings to the company.
SAP is committed to the principles of Equal Employment Opportunity and to providing reasonable accommodations to applicants with physical and/or mental disabilities. If you are in need of accommodation or special assistance to navigate our website or to complete your application, please send an e-mail with your request to Recruiting Operations Team (Americas: Careers.NorthAmerica@sap.com or Careers.LatinAmerica@sap.com, APJ: Careers.APJ@sap.com, EMEA: Careers@sap.com).
Successful candidates might be required to undergo a background verification with an external vendor.",4.8,"SAP
4.8",Bangalore,10000+ Employees,Computer Hardware & Software,Information Technology,$10+ billion (USD)
Data Science/ ML Engineer -Trainee,-1,"We are looking for strong data science /ML Engineers, to join our engineering team, who can leverage/develop innovative machine learning and data/text mining technologies to solve a diverse set of problems. We are building a team focused on researching and using latest open source technologies to build high impact enterprise scale solutions for businesses.
Key Requirements
Candidate should have a strong academic background with good analytical skill and exposure to machine learning and information retrieval domain and technologies
Strong programming skills, must be able to work in multiple programming and analysis tools, such as Python, R, MatLab, Java, Javascript, or similar
Must have knowledge/experience in building end-to-end machine learning pipeline from data exploration, feature engineering, model building, performance evaluation, and online testing with large data sets
Good algorithmic knowledge of machine learning, symbol sequence processing and statistical pattern recognition
Should be a able evaluate and build prototypes using emerging technologies in machine learning and data/text mining
Knowledge/familiarity with ML/NLP techniques such as Classification, sentiment analysis, NER, Topic Modelling etc..
Self driven individual who can take a challenging problem, design a solution and see it to completion with guidance
Must be a quick learner and should have the ability to adapt to a rapidly changing technology environment
Preferred Qualifications
MS (Statistics), B.E/B.Tech,M.Tech - Computer Science or related fields preferred
Job Types: Full-time, Regular / Permanent
Salary: ₹10,000.00 - ₹20,000.00 per month
Schedule:
Morning shift
Industry:
Software Development
Work Remotely:
Yes
COVID-19 Precaution(s):
Remote interview process",-1,mStack Innovation Labs,Cochin,-1,-1,-1,-1
Data scientist,-1,"2+ Years’ experience in machine learning and AI analytics.
Expert knowledge in Python ,R, Anaconda ,Ai, ML , Deep Learning , Neural networks, NLP
Manufacturing domain – predictive and online quality analytics – experience would be preferred
Knowledge in machine learning models using model-based clustering and generic algorithms for predictions
Good educational background – Math and Stat application
Methodical and Aggressive learner",3.1,"Carbynetech india pvt ltd
3.1",Hyderābād,1 to 50 Employees,-1,-1,Less than $1 million (USD)
Senior Data Scientist,-1,"Responsibilities and Duties
Knowledge of Deep learning, image processing, Yolo, object detection,
optical character recognition
Experience in driving systemic operational improvements
Experience working with cross-functional teams including communicating with other technical teams, product management, and senior management
Demonstrated ability to mentor junior software engineers in all aspects of the software engineering craft
Track record of developing web services or other large-scale distributed systems
Experience : 2 To 4 Years
CTC ;6 To 9 L.P.A
Contact: 9637195895
Notice period : Max 1 Month
Required Experience, Skills and Qualifications
Proficiency with Unix Shell scripting,Python, SQL, and PL/SQL
Experience with ML frameworks including scikit-learn, TensorFlow, OpenCV.
Professional experience developing highly scalable distributed systems using Python
Expert Python programming language and Object-Oriented design with hands on experience on above
Hands on knowledge of Restful API development
Experience in developing large scale, micro service oriented, distributed applications and API.
Experience influencing software engineering best practices within your team, including design reviews, coding standards, code reviews, source control management, build processes, testing, and operations
Linux system programming with Python and C or C++.
Experience with computer hardware, not just virtual or cloud services.
Must be a self-starter in identifying ways to improve design and development processes
Strong attention to detail, An eagerness to dig in and find the root causes of obscure problems.
Job Type: Full-time
Salary: ₹600,000.00 - ₹900,000.00 per year
Schedule:
Day shift
Experience:
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Secondary(10th Pass) (Preferred)",-1,Vertscend Automation Pvt Ltd,Pune,51 to 200 Employees,-1,-1,Less than $1 million (USD)
